ALTURA	PESO	NOTA
1.52	50	6
1.69	55	3.5
1.67	57	8
1.62	58	4.25
1.59	60	9
1.66	57	10
1.68	55	5.75
1.68	53	8
1.65	55	7
1.65	58	7.5
1.60	52	8.75
1.70	64	6.3
1.62	58	8.5
1.60	45	7
1.61	59	5
1.53	48	4.75
1.68	60	6.25
1.66	63	2.75
1.50	49	6.25
1.71	62	7
1.85	75	2.75
1.72	63	9
1.71	68	3.75
1.70	60	8.5
1.68	61	8.25
1.79	72	2.25
1.73	70	5.75
1.70	65	8.25
1.76	74	7.75
1.72	68	6.25
1.74	65	7.25
1.80	75	8
1.75	68	3.75
1.81	82	5
1.74	70	4.75
1.72	65	2
1.85	72	3.25
1.75	68	6.25
1.77	70	3.25
1.76	66	5
