calories protein fat sodium fibre carbo sugars potassium
146.66667 4 1.3333333 333.33333 2 15.33333 13.333333 120
133.33333 2.6666667 0 253.33333 1.333333 24 6.666667 106.66667
363.63636 9.0909091 9.0909091 227.27273 9.090909 39.39394 12.121212 303.0303
133.33333 2.6666667 1.3333333 186.66667 2.666667 14.66667 13.333333 160
82.70677 0.7518797 0 135.33835 0 10.52632 8.270677 26.31579
100 3 1 200 3 17 3 110
110 2 0 280 0 22 3 25
208.95522 4.4776119 2.9850746 328.35821 4.477612 31.34328 10.447761 194.02985
160 4 1.3333333 280 6.666667 18.66667 16 320
110 2 0 220 1 21 3 30
179.10448 4.4776119 1.4925373 298.50746 8.955224 16.41791 20.895522 388.0597
110 2 1 125 1 11 13 30
120 1 2 220 1 12 11 45
134.32836 4.4776119 0 0 5.970149 28.35821 0 208.95522
100 3 1 200 3 16 3 110
260 6 4 340 3 27 20 240
160 1.3333333 4 280 0 17.33333 12 60
110 2 1 180 0 12 12 55
220 6 4 280 4 26 14 210
110 2 1 200 0 21 3 35
179.10448 4.4776119 0 358.20896 7.462687 20.89552 17.910448 283.58209
212.12121 12.1212121 3.030303 787.87879 27.272727 21.21212 15.151515 969.69697
110 1 1 180 0 12 13 55
73.33333 1.3333333 0.6666667 173.33333 0 14 2 26.66667
149.25373 5.9701493 2.9850746 223.8806 2.985075 17.91045 8.955224 141.79104
100 2 1 220 2 15 6 90
140 3 1 190 4 15 14 230
179.10448 4.4776119 2.9850746 238.80597 7.462687 17.91045 14.925373 298.50746
440 12 0 680 12 68 12 360
125 3.75 0 0 3.75 17.5 8.75 125
212.12121 12.1212121 3.030303 393.93939 30.30303 15.15152 18.181818 848.48485
146.66667 1.3333333 0 266.66667 1.333333 18.66667 14.666667 33.33333
134.32836 4.4776119 0 0 4.477612 29.85075 0 179.10448
149.25373 4.4776119 1.4925373 343.28358 4.477612 25.37313 4.477612 171.64179
110 2 0 290 0 22 3 35
134.32836 2.9850746 1.4925373 298.50746 5.970149 22.38806 8.955224 186.56716
134.32836 4.4776119 0 313.43284 7.462687 19.40299 7.462687 283.58209
88 4.8 1.6 232 1.6 13.6 0.8 84
100 3 0 320 1 20 3 45
146.66667 2.6666667 1.3333333 333.33333 0 28 4 80
146.66667 2.6666667 1.3333333 266.66667 1.333333 21.33333 10.666667 80
179.10448 2.9850746 1.4925373 283.58209 0 22.38806 13.432836 59.70149
200 8 2 270 4 28 12 220
110 1 1 180 0 12 13 65
113.63636 2.2727273 0 51.13636 0 12.5 17.045455 45.45455
220 6 6 280 8 20 14 320
186.66667 4 1.3333333 226.66667 2.666667 26.66667 12 126.66667
173.33333 4 2.6666667 280 2.666667 24 10.666667 133.33333
110 2 0 125 1 11 14 30
100 8 0 280 28 16 0 660
