"CATEGORÍA" "TIPO.FUM"
"1" "Socio" "No.fumadores"
"2" "Socio" "No.fumadores"
"3" "Socio" "Poco.fumadores"
"4" "Socio" "Poco.fumadores"
"5" "Socio" "Fumadores.Medios"
"6" "Socio" "Fumadores.Medios"
"7" "Socio" "Fumadores.Medios"
"8" "Socio" "Muy.Fumadores"
"9" "Socio" "Muy.Fumadores"
"10" "Socio" "Muy.Fumadores"
"11" "Socio" "Muy.Fumadores"
"12" "Gerente" "No.fumadores"
"13" "Gerente" "No.fumadores"
"14" "Gerente" "No.fumadores"
"15" "Gerente" "No.fumadores"
"16" "Gerente" "Poco.fumadores"
"17" "Gerente" "Poco.fumadores"
"18" "Gerente" "Poco.fumadores"
"19" "Gerente" "Fumadores.Medios"
"20" "Gerente" "Fumadores.Medios"
"21" "Gerente" "Fumadores.Medios"
"22" "Gerente" "Fumadores.Medios"
"23" "Gerente" "Fumadores.Medios"
"24" "Gerente" "Fumadores.Medios"
"25" "Gerente" "Fumadores.Medios"
"26" "Gerente" "Muy.Fumadores"
"27" "Gerente" "Muy.Fumadores"
"28" "Gerente" "Muy.Fumadores"
"29" "Gerente" "Muy.Fumadores"
"30" "Jefe eq" "No.fumadores"
"31" "Jefe eq" "No.fumadores"
"32" "Jefe eq" "No.fumadores"
"33" "Jefe eq" "No.fumadores"
"34" "Jefe eq" "No.fumadores"
"35" "Jefe eq" "No.fumadores"
"36" "Jefe eq" "No.fumadores"
"37" "Jefe eq" "No.fumadores"
"38" "Jefe eq" "No.fumadores"
"39" "Jefe eq" "No.fumadores"
"40" "Jefe eq" "No.fumadores"
"41" "Jefe eq" "No.fumadores"
"42" "Jefe eq" "No.fumadores"
"43" "Jefe eq" "No.fumadores"
"44" "Jefe eq" "No.fumadores"
"45" "Jefe eq" "No.fumadores"
"46" "Jefe eq" "No.fumadores"
"47" "Jefe eq" "No.fumadores"
"48" "Jefe eq" "No.fumadores"
"49" "Jefe eq" "No.fumadores"
"50" "Jefe eq" "No.fumadores"
"51" "Jefe eq" "No.fumadores"
"52" "Jefe eq" "No.fumadores"
"53" "Jefe eq" "No.fumadores"
"54" "Jefe eq" "No.fumadores"
"55" "Jefe eq" "Poco.fumadores"
"56" "Jefe eq" "Poco.fumadores"
"57" "Jefe eq" "Poco.fumadores"
"58" "Jefe eq" "Poco.fumadores"
"59" "Jefe eq" "Poco.fumadores"
"60" "Jefe eq" "Poco.fumadores"
"61" "Jefe eq" "Poco.fumadores"
"62" "Jefe eq" "Poco.fumadores"
"63" "Jefe eq" "Poco.fumadores"
"64" "Jefe eq" "Poco.fumadores"
"65" "Jefe eq" "Fumadores.Medios"
"66" "Jefe eq" "Fumadores.Medios"
"67" "Jefe eq" "Fumadores.Medios"
"68" "Jefe eq" "Fumadores.Medios"
"69" "Jefe eq" "Fumadores.Medios"
"70" "Jefe eq" "Fumadores.Medios"
"71" "Jefe eq" "Fumadores.Medios"
"72" "Jefe eq" "Fumadores.Medios"
"73" "Jefe eq" "Fumadores.Medios"
"74" "Jefe eq" "Fumadores.Medios"
"75" "Jefe eq" "Fumadores.Medios"
"76" "Jefe eq" "Fumadores.Medios"
"77" "Jefe eq" "Muy.Fumadores"
"78" "Jefe eq" "Muy.Fumadores"
"79" "Jefe eq" "Muy.Fumadores"
"80" "Jefe eq" "Muy.Fumadores"
"81" "Ayudante" "No.fumadores"
"82" "Ayudante" "No.fumadores"
"83" "Ayudante" "No.fumadores"
"84" "Ayudante" "No.fumadores"
"85" "Ayudante" "No.fumadores"
"86" "Ayudante" "No.fumadores"
"87" "Ayudante" "No.fumadores"
"88" "Ayudante" "No.fumadores"
"89" "Ayudante" "No.fumadores"
"90" "Ayudante" "No.fumadores"
"91" "Ayudante" "No.fumadores"
"92" "Ayudante" "No.fumadores"
"93" "Ayudante" "No.fumadores"
"94" "Ayudante" "No.fumadores"
"95" "Ayudante" "No.fumadores"
"96" "Ayudante" "No.fumadores"
"97" "Ayudante" "No.fumadores"
"98" "Ayudante" "No.fumadores"
"99" "Ayudante" "Poco.fumadores"
"100" "Ayudante" "Poco.fumadores"
"101" "Ayudante" "Poco.fumadores"
"102" "Ayudante" "Poco.fumadores"
"103" "Ayudante" "Poco.fumadores"
"104" "Ayudante" "Poco.fumadores"
"105" "Ayudante" "Poco.fumadores"
"106" "Ayudante" "Poco.fumadores"
"107" "Ayudante" "Poco.fumadores"
"108" "Ayudante" "Poco.fumadores"
"109" "Ayudante" "Poco.fumadores"
"110" "Ayudante" "Poco.fumadores"
"111" "Ayudante" "Poco.fumadores"
"112" "Ayudante" "Poco.fumadores"
"113" "Ayudante" "Poco.fumadores"
"114" "Ayudante" "Poco.fumadores"
"115" "Ayudante" "Poco.fumadores"
"116" "Ayudante" "Poco.fumadores"
"117" "Ayudante" "Poco.fumadores"
"118" "Ayudante" "Poco.fumadores"
"119" "Ayudante" "Poco.fumadores"
"120" "Ayudante" "Poco.fumadores"
"121" "Ayudante" "Poco.fumadores"
"122" "Ayudante" "Poco.fumadores"
"123" "Ayudante" "Fumadores.Medios"
"124" "Ayudante" "Fumadores.Medios"
"125" "Ayudante" "Fumadores.Medios"
"126" "Ayudante" "Fumadores.Medios"
"127" "Ayudante" "Fumadores.Medios"
"128" "Ayudante" "Fumadores.Medios"
"129" "Ayudante" "Fumadores.Medios"
"130" "Ayudante" "Fumadores.Medios"
"131" "Ayudante" "Fumadores.Medios"
"132" "Ayudante" "Fumadores.Medios"
"133" "Ayudante" "Fumadores.Medios"
"134" "Ayudante" "Fumadores.Medios"
"135" "Ayudante" "Fumadores.Medios"
"136" "Ayudante" "Fumadores.Medios"
"137" "Ayudante" "Fumadores.Medios"
"138" "Ayudante" "Fumadores.Medios"
"139" "Ayudante" "Fumadores.Medios"
"140" "Ayudante" "Fumadores.Medios"
"141" "Ayudante" "Fumadores.Medios"
"142" "Ayudante" "Fumadores.Medios"
"143" "Ayudante" "Fumadores.Medios"
"144" "Ayudante" "Fumadores.Medios"
"145" "Ayudante" "Fumadores.Medios"
"146" "Ayudante" "Fumadores.Medios"
"147" "Ayudante" "Fumadores.Medios"
"148" "Ayudante" "Fumadores.Medios"
"149" "Ayudante" "Fumadores.Medios"
"150" "Ayudante" "Fumadores.Medios"
"151" "Ayudante" "Fumadores.Medios"
"152" "Ayudante" "Fumadores.Medios"
"153" "Ayudante" "Fumadores.Medios"
"154" "Ayudante" "Fumadores.Medios"
"155" "Ayudante" "Fumadores.Medios"
"156" "Ayudante" "Muy.Fumadores"
"157" "Ayudante" "Muy.Fumadores"
"158" "Ayudante" "Muy.Fumadores"
"159" "Ayudante" "Muy.Fumadores"
"160" "Ayudante" "Muy.Fumadores"
"161" "Ayudante" "Muy.Fumadores"
"162" "Ayudante" "Muy.Fumadores"
"163" "Ayudante" "Muy.Fumadores"
"164" "Ayudante" "Muy.Fumadores"
"165" "Ayudante" "Muy.Fumadores"
"166" "Ayudante" "Muy.Fumadores"
"167" "Ayudante" "Muy.Fumadores"
"168" "Ayudante" "Muy.Fumadores"
"169" "Secretaria" "No.fumadores"
"170" "Secretaria" "No.fumadores"
"171" "Secretaria" "No.fumadores"
"172" "Secretaria" "No.fumadores"
"173" "Secretaria" "No.fumadores"
"174" "Secretaria" "No.fumadores"
"175" "Secretaria" "No.fumadores"
"176" "Secretaria" "No.fumadores"
"177" "Secretaria" "No.fumadores"
"178" "Secretaria" "No.fumadores"
"179" "Secretaria" "Poco.fumadores"
"180" "Secretaria" "Poco.fumadores"
"181" "Secretaria" "Poco.fumadores"
"182" "Secretaria" "Poco.fumadores"
"183" "Secretaria" "Poco.fumadores"
"184" "Secretaria" "Poco.fumadores"
"185" "Secretaria" "Poco.fumadores"
"186" "Secretaria" "Poco.fumadores"
"187" "Secretaria" "Fumadores.Medios"
"188" "Secretaria" "Fumadores.Medios"
"189" "Secretaria" "Fumadores.Medios"
"190" "Secretaria" "Fumadores.Medios"
"191" "Secretaria" "Fumadores.Medios"
"192" "Secretaria" "Muy.Fumadores"
"193" "Secretaria" "Muy.Fumadores"
