"SALARIO" "ANTIG" "SEXO" "ESTUDIOS"
"1" 998 7 "Hombre" 1
"2" 1015 14 "Mujer" 1
"3" 1028 18 "Mujer" 1
"4" 1250 19 "Mujer" 1
"5" 1028 19 "Hombre" 1
"6" 1028 19 "Hombre" 1
"7" 1018 27 "Hombre" 1
"8" 1072 30 "Hombre" 1
"9" 1290 30 "Mujer" 1
"10" 1204 30 "Hombre" 1
"11" 1352 31 "Hombre" 2
"12" 1204 31 "Hombre" 1
"13" 1104 38 "Hombre" 1
"14" 1118 41 "Mujer" 1
"15" 1127 42 "Hombre" 1
"16" 1259 42 "Mujer" 1
"17" 1127 42 "Mujer" 1
"18" 1127 42 "Hombre" 1
"19" 1095 47 "Hombre" 1
"20" 1113 52 "Hombre" 1
"21" 1462 52 "Hombre" 2
"22" 1182 54 "Mujer" 1
"23" 1404 54 "Hombre" 1
"24" 1182 54 "Hombre" 1
"25" 1594 55 "Mujer" 2
"26" 1459 66 "Hombre" 1
"27" 1237 67 "Mujer" 1
"28" 1237 67 "Hombre" 1
"29" 1496 75 "Hombre" 1
"30" 1424 78 "Mujer" 1
"31" 1424 79 "Hombre" 1
"32" 1347 91 "Mujer" 1
"33" 1343 92 "Hombre" 1
"34" 1310 94 "Hombre" 1
"35" 1814 103 "Hombre" 2
"36" 1534 103 "Hombre" 1
"37" 1430 103 "Mujer" 1
"38" 1439 111 "Mujer" 1
"39" 1946 114 "Mujer" 3
"40" 2216 114 "Mujer" 4
