sp FL RW CL CW BD
O 18.8 13.8 39.2 43.3 17.9
B 18 13.7 39.2 44.4 16.2
O 13.2 11 27.1 30.4 12.2
B 9.1 8.2 19.2 22.2 7.7
B 15.1 13.8 31.7 36.6 13
B 16.4 13 35.7 41.8 15.2
B 17.1 12.6 36.4 42 15.1
B 12.6 10 27.7 31.7 11.4
O 20.6 17.5 41.5 46.2 19.2
O 19.1 16.3 37.9 42.6 17.2
B 14.6 11.3 31.9 36.4 13.7
B 11.1 9.9 23.8 27.1 9.8
O 17.5 12.7 34.6 38.4 16.1
B 15.7 12.6 35.8 40.3 14.5
B 13.1 10.6 28.2 32.3 11
B 11.5 11 24.7 29.2 10.1
O 13.4 10.1 26.6 29.6 12
B 11.9 11.4 26 30.1 10.9
B 16.9 13.2 37.3 42.7 15.6
B 10.8 9.5 22.5 26.3 9.1
B 15.3 14.2 32.6 38.3 13.8
B 8.1 6.7 16.1 19 7
B 17.4 16.9 38.2 44.1 16.6
O 12.9 11.2 25.8 29.1 11.9
O 17.5 14.4 34.5 39 16
O 14.1 10.4 28.9 31.8 13.5
O 21.6 14.8 43.4 48.2 20.1
O 18 14.9 34.7 39.5 15.7
O 14 11.5 29.2 32.2 13.1
O 16.2 11.8 32.3 35.3 14.7
