y x1 x2 x3
18.1 8.7 3.9 2.3
33.2 6.7 8 3.5
27.3 7.4 6.6 3.2
31 7.4 6.4 4.2
25.4 7.9 5.9 3.4
33.4 10.9 7.3 4
38.1 4 6.1 5.7
29.9 9.2 6.5 3.3
32.9 7.4 7.3 4.1
32.7 4.6 5.1 5
26.3 8.4 3.3 4.1
32.3 10.1 4.9 5
41.1 9.7 7.9 5.6
28.1 7.9 5.5 3.6
32.3 5.8 6.1 4.4
34.8 8.9 6.6 5.2
29.3 4.9 5 4.3
28.5 9.5 6.4 3.1
39.2 7.5 6.1 5.8
31.3 6.5 5.9 4.5
25.4 7.6 4.9 3.2
28.3 8.8 5.5 3.8
34.4 10.5 5.1 5.4
34.4 7.1 5.6 5.7
28.2 9.3 5.5 3.7
28.5 8.8 5 4.3
29.8 11 6 4
23.8 10.7 5.5 2.8
24.2 8.7 6.2 2.5
31.4 8.6 7.3 3.5
33.7 6 6 4.9
24.8 46.5 27.5 15
35.8 10.5 7.5 4.5
33.1 9.7 6.8 4.2
27.9 6.4 6.6 3.1
32.7 5.3 5.6 4.5
31.7 5.8 5.4 4.5
24.7 5.8 4.7 3.5
30.2 6.1 5.8 4.1
30.1 5.3 4.8 5.1
30.3 8.5 5.8 4
27.1 5.4 5.5 3.8
30.1 10.6 7.8 2.8
25.5 11.7 5.2 3.5
30.7 10.1 3.8 5.2
29.9 5.7 7.8 3.2
32.4 6.5 7.3 3.9
31.1 9 6.3 4.1
35.8 45.5 29.5 27
30.7 6.3 6.9 3.9
