"TEMPER" "CONSUMO" "DIA"
"1" 11.54 263 3
"2" 7.23 326 4
"3" 5.99 302 5
"4" 2.03 426 1
"5" 1.09 466 2
"6" 0.66 446 3
"7" 2.86 421 4
"8" 2.898 392 5
"9" 0.23 473 1
"10" -2.01 499 2
"11" 0.25 479 3
"12" 6.46 390 4
"13" 10.5 281 5
"14" 13.01 214 1
"15" 15.39 167 2
"16" 12.86 209 3
"17" 9.12 294 4
"18" 10.18 248 5
"19" 13.39 231 1
"20" 12.68 230 2
"21" 10.51 241 3
"22" 10.69 233 4
"23" 10.55 231 5
"24" 7.46 313 1
"25" 11.96 211 3
"26" 15.56 175 4
"27" 16.97 149 5
"28" 16.85 173 1
"29" 15.52 176 3
"30" 16.9 151 5
"31" 14.07 180 1
"32" 9.81 247 3
"33" 8.51 256 5
"34" 8.95 279 1
"35" 9.95 228 3
"36" 15.23 154 5
"37" 12.86 219 1
"38" 8.7 255 3
"39" 9.18 227 5
"40" 10.7 230 1
"41" 8.98 266 2
"42" 6.48 312 3
"43" 6.98 282 4
"44" 8.83 240 5
"45" 15.98 153 4
"46" 19.53 125 5
"47" 15.94 147 1
"48" 16.99 143 2
"49" 16.42 156 3
"50" 10.17 215 5
"51" 17.48 161 1
"52" 17.39 149 2
"53" 17.85 84 3
"54" 18.02 140 2
"55" 15.33 160 3
"56" 17.02 136 4
"57" 16.56 129 5
