"RESULTAD" "PLANTILL" "CASHFLOW" "CAPITAL" "RECPROP" "VENTAS" "INMOVILI" "ACTIVOS"
"1" 23795 40851 37005 46207 248813 775104 173572 463335
"2" 1531 455 1990 3247 4869 700963 61898 150236
"3" -12756 24268 7934 84000 91056 674063 381012 472004
"4" 14729 8174 21725 18442 84646 631003 101784 220062
"5" 9059 14881 30795 22781 129448 537744 95735 245723
"6" 12541 4362 26196 36154 101465 489155 194837 332985
"7" 13495 13200 22804 18925 94010 448465 130790 258782
"8" -34824 25617 -8757 213281 138922 445853 424760 544617
"9" 10700 9545 27250 21070 126718 427333 46909 228674
"10" 34329 3678 44955 14012 87373 425909 113939 296022
"11" 21201 9200 36055 41547 95963 414472 77787 216214
"12" 11248 2486 17686 44596 143544 371566 194183 320857
"13" 13420 5355 66167 145069 309904 341596 970791 1116935
"14" 5670 9556 11106 8574 28179 304852 73005 145642
"15" 11351 22103 16674 7506 45339 299375 71137 297389
"16" 10325 13215 13073 29724 100864 291305 48424 254492
"17" 5687 8267 14664 5344 76759 288109 40226 132017
"18" 12772 6102 40021 148201 298108 258331 709445 792174
"19" 207 3100 1486 14012 43450 242303 38580 78374
"20" 523 4479 12636 19500 30757 234929 47070 159328
"21" 15247 3321 47212 208593 273371 206811 693523 762166
"22" 4757 7056 7359 4971 40655 206259 27089 164872
"23" -3194 5331 -448 10500 16878 200380 22002 64514
"24" -14389 7203 -5788 55766 54844 173067 146813 198097
"25" -67644 14390 -53188 125145 33663 158106 234579 339125
"26" 6603 2016 11170 9772 16601 151688 50300 81701
"27" 1850 10021 6753 2638 5881 148822 40342 58299
"28" 841 11125 5716 46692 31700 147634 60862 139679
"29" 8369 887 13577 20020 50179 132294 69612 92498
"30" 6342 6052 10214 18000 41690 129850 57876 91828
"31" 4521 2038 12882 46893 135955 127241 192907 221399
"32" 1487 3255 4023 17515 22688 125099 18084 55192
"33" 800 4473 2864 12639 21345 121076 20331 99751
"34" 2270 6496 4747 5625 32180 119624 30208 91594
"35" 4200 3790 6392 15106 34888 117136 20245 110779
"36" 60 576 290 3590 4723 109088 4176 20275
"37" 3129 963 9919 85176 105976 106541 171712 202726
"38" 10378 447 12774 16333 46698 103910 45357 82353
"39" 3187 3184 3187 6729 20642 103593 42395 61804
"40" -3593 8999 4094 58520 46701 100529 67051 186778
"41" 7776 629 22213 23892 98346 94871 54088 148092
"42" 3700 2673 4921 8365 29364 92502 22461 107365
"43" -8417 7178 -3406 56410 55543 91162 96607 184151
"44" 2510 951 5676 10300 30891 87471 48322 77473
"45" 6434 1034 15285 37732 88536 86949 158336 189039
"46" -1571 4793 2314 14860 19550 85722 22367 47530
"47" -12423 1955 -8616 10050 12935 84876 38743 83164
"48" 866 1360 2818 750 15308 84564 11037 37789
"49" 3589 2827 6964 4745 82950 83325 99963 137919
"50" -31648 6560 -24753 67056 28221 83063 131941 182000
"51" 9832 2062 17603 22389 124143 80252 145553 173346
"52" 1987 1694 2732 3670 10773 78071 18895 35036
"53" -15181 910 -9920 22060 21404 77973 42399 68925
"54" -9263 6922 -7750 21600 9327 77722 30164 110108
