"TIPO" "LONGITUD" "ANGULO"
"1" "concinna" 150 15
"2" "concinna" 147 13
"3" "concinna" 144 14
"4" "concinna" 144 16
"5" "concinna" 153 13
"6" "concinna" 140 15
"7" "concinna" 151 14
"8" "concinna" 143 14
"9" "concinna" 144 14
"10" "concinna" 142 15
"11" "concinna" 141 13
"12" "concinna" 150 15
"13" "concinna" 148 13
"14" "concinna" 154 15
"15" "concinna" 147 14
"16" "concinna" 137 14
"17" "concinna" 134 15
"18" "concinna" 157 14
"19" "concinna" 149 13
"20" "concinna" 147 13
"21" "concinna" 148 14
"22" "heikertingeri" 120 14
"23" "heikertingeri" 123 16
"24" "heikertingeri" 130 14
"25" "heikertingeri" 131 16
"26" "heikertingeri" 116 16
"27" "heikertingeri" 122 15
"28" "heikertingeri" 127 15
"29" "heikertingeri" 132 16
"30" "heikertingeri" 125 14
"31" "heikertingeri" 119 13
"32" "heikertingeri" 122 13
"33" "heikertingeri" 120 15
"34" "heikertingeri" 119 14
"35" "heikertingeri" 123 15
"36" "heikertingeri" 125 15
"37" "heikertingeri" 125 14
"38" "heikertingeri" 129 14
"39" "heikertingeri" 130 13
"40" "heikertingeri" 129 13
"41" "heikertingeri" 122 12
"42" "heikertingeri" 129 15
"43" "heikertingeri" 124 15
"44" "heikertingeri" 120 13
"45" "heikertingeri" 119 16
"46" "heikertingeri" 119 14
"47" "heikertingeri" 133 13
"48" "heikertingeri" 121 15
"49" "heikertingeri" 128 14
"50" "heikertingeri" 129 14
"51" "heikertingeri" 124 13
"52" "heikertingeri" 129 14
"53" "heptapotamica" 145 8
"54" "heptapotamica" 140 11
"55" "heptapotamica" 140 11
"56" "heptapotamica" 131 10
"57" "heptapotamica" 139 11
"58" "heptapotamica" 139 10
"59" "heptapotamica" 136 12
"60" "heptapotamica" 129 11
"61" "heptapotamica" 140 10
"62" "heptapotamica" 137 9
"63" "heptapotamica" 141 11
"64" "heptapotamica" 138 9
"65" "heptapotamica" 143 9
"66" "heptapotamica" 142 11
"67" "heptapotamica" 144 10
"68" "heptapotamica" 138 10
"69" "heptapotamica" 140 10
"70" "heptapotamica" 130 9
"71" "heptapotamica" 137 11
"72" "heptapotamica" 137 10
"73" "heptapotamica" 136 9
"74" "heptapotamica" 140 10
