"METODO" "HORARIO" "VELOCIDA" "PRECISION"
"1" "A" "Extensivo" 36 26
"2" "A" "Extensivo" 34 22
"3" "A" "Extensivo" 28 21
"4" "A" "Extensivo" 34 23
"5" "A" "Extensivo" 34 21
"6" "A" "Extensivo" 29 19
"7" "A" "Extensivo" 48 25
"8" "A" "Extensivo" 28 20
"9" "A" "Extensivo" 34 21
"10" "A" "Extensivo" 38 20
"11" "A" "Semi-Intensivo" 46 17
"12" "A" "Semi-Intensivo" 34 21
"13" "A" "Semi-Intensivo" 31 17
"14" "A" "Semi-Intensivo" 31 18
"15" "A" "Semi-Intensivo" 36 23
"16" "A" "Semi-Intensivo" 26 19
"17" "A" "Semi-Intensivo" 35 16
"18" "A" "Semi-Intensivo" 33 19
"19" "A" "Semi-Intensivo" 23 15
"20" "A" "Semi-Intensivo" 30 14
"21" "A" "Intensivo" 26 14
"22" "A" "Intensivo" 31 14
"23" "A" "Intensivo" 30 16
"24" "A" "Intensivo" 34 16
"25" "A" "Intensivo" 30 13
"26" "A" "Intensivo" 27 13
"27" "A" "Intensivo" 21 12
"28" "A" "Intensivo" 31 15
"29" "A" "Intensivo" 37 14
"30" "A" "Intensivo" 29 14
"31" "B" "Extensivo" 42 25
"32" "B" "Extensivo" 47 24
"33" "B" "Extensivo" 51 29
"34" "B" "Extensivo" 35 25
"35" "B" "Extensivo" 37 26
"36" "B" "Extensivo" 44 28
"37" "B" "Extensivo" 44 25
"38" "B" "Extensivo" 49 24
"39" "B" "Extensivo" 43 24
"40" "B" "Extensivo" 36 26
"41" "B" "Semi-Intensivo" 32 18
"42" "B" "Semi-Intensivo" 39 19
"43" "B" "Semi-Intensivo" 37 17
"44" "B" "Semi-Intensivo" 31 17
"45" "B" "Semi-Intensivo" 36 19
"46" "B" "Semi-Intensivo" 32 19
"47" "B" "Semi-Intensivo" 31 17
"48" "B" "Semi-Intensivo" 41 21
"49" "B" "Semi-Intensivo" 36 18
"50" "B" "Semi-Intensivo" 40 20
"51" "B" "Intensivo" 28 11
"52" "B" "Intensivo" 28 10
"53" "B" "Intensivo" 25 10
"54" "B" "Intensivo" 22 12
"55" "B" "Intensivo" 27 11
"56" "B" "Intensivo" 25 12
"57" "B" "Intensivo" 33 14
"58" "B" "Intensivo" 31 13
"59" "B" "Intensivo" 28 12
"60" "B" "Intensivo" 23 11
